1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.076563728,0.027458247,0,0.026691626,0.106286129,0.087822347,0.034774014,0.029496619,0.087738552,0.038370944,0.038009567,0,0.018730832,0,0.16036877,0.08192133,0.029775938,0,0.028725534,0.064008224,0
0,0,0.10420572,0.013345813,0,0.037638149,0.121709048,0.073741548,0.025068158,0,0.012669856,0,0.056192496,0.032174719,0,0.046812189,0.019850625,0,0.028725534,0.089611514,0.030772523
0,0,0,0,0,0.050184198,0.017387007,0,0.112806709,0,0,0.092853602,0,0,0.034364737,0,0,0,0,0,0.133347599
0.019140932,0,0,0,0,0,0.034774014,0.029496619,0.012534079,0,0,0.0154756,0.009365416,0,0.011454912,0.035109142,0,0,0.014362767,0,0
0.028711398,0,0,0,0,0,0,0,0,0,0,0.046426801,0,0,0,0,0,0,0,0.02560329,0
0.248832117,0.018305498,0.429848596,0,0,0.263467041,0.139096055,0.147483096,0.401090522,0,0,0.185707205,0.140481239,0.053624531,0.217643331,0,0,0,0.172353202,0.051206579,0.420557811
0.019140932,0.027458247,0,0,0,0,0,0.029496619,0.037602236,0,0.012669856,0,0.028096248,0,0.034364737,0.023406094,0,0,0.043088301,0.038404934,0.010257508
0,0,0,0,0,0,0,0,0,0,0,0.0154756,0,0,0,0,0,0,0,0,0
0,0,0,0,0.010628613,0,0.017387007,0,0.012534079,0.009592736,0,0,0.009365416,0,0.045819649,0,0.009925313,0,0,0,0
0,0,0,0,0,0,0,0,0.012534079,0,0,0,0,0.010724906,0,0,0,0,0,0,0.020515015
0,0,0,0,0,0,0,0,0,0,0,0,0.009365416,0,0,0.011703047,0,0,0,0,0
0,0.045763745,0,0,0,0,0,0,0,0.019185472,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.013345813,0,0,0,0.01474831,0.012534079,0,0.012669856,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014362767,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012801645,0
0.009570466,0,0.013025715,0.013345813,0,0,0,0.029496619,0,0,0,0,0.009365416,0,0.011454912,0.011703047,0,0,0,0,0
0.019140932,0.009152749,0,0,0,0,0,0.01474831,0,0,0,0,0,0,0.011454912,0.011703047,0,0,0,0,0
0.019140932,0.009152749,0.013025715,0,0,0,0.121709048,0.044244929,0.025068158,0.057556416,0.050679423,0.061902402,0,0.042899625,0.022909824,0,0.029775938,0,0.014362767,0.102413159,0.123090091
0,0,0,0,0,0,0.017387007,0,0.025068158,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.010628613,0,0,0,0.025068158,0,0.025339711,0,0,0,0,0,0,0,0,0,0
0,0,0.065128575,0,0,0,0,0,0,0,0,0.061902402,0,0,0.034364737,0,0,0,0,0,0
0.038281864,0.009152749,0,0,0,0.112914446,0.017387007,0.029496619,0,0,0,0,0.009365416,0.010724906,0.011454912,0.011703047,0,0,0,0,0.010257508
