Kingdom,Phylum,Class,Order,Family,Genus,Species
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Substrate-specific Catabolism,phnZ
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Production,pepM
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Broad-specificity Catabolism,phnJ
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Broad-specificity Catabolism,phnI
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Broad-specificity Catabolism,phnM
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Broad-specificity Catabolism,phnM
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Broad-specificity Catabolism,phnI
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Broad-specificity Catabolism,phnJ
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Substrate-specific Catabolism,phnZ
Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Production,aepY
Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Substrate-specific Catabolism,phnW
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Broad-specificity Catabolism,phnI
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Broad-specificity Catabolism,phnJ
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Broad-specificity Catabolism,phnM
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Broad-specificity Catabolism,phnM
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Substrate-specific Catabolism,phnZ
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Broad-specificity Catabolism,phnM
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Substrate-specific Catabolism,phnW
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Production,aepY
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Broad-specificity Catabolism,phnJ
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Broad-specificity Catabolism,phnM
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Substrate-specific Catabolism,phnX
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Production,pepM
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Substrate-specific Catabolism,phnW
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Broad-specificity Catabolism,phnJ
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Production,aepY
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Production,pepM
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Substrate-specific Catabolism,phnW
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Substrate-specific Catabolism,phnA
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Substrate-specific Catabolism,phnY
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Substrate-specific Catabolism,phnZ
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Broad-specificity Catabolism,phnM
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Broad-specificity Catabolism,phnJ
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Broad-specificity Catabolism,phnM
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Substrate-specific Catabolism,phnW
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Substrate-specific Catabolism,phnA
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Substrate-specific Catabolism,phnY
Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Thiobacillaceae,Broad-specificity Catabolism,phnM
Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Thiobacillaceae,Broad-specificity Catabolism,phnJ
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Syntrophotaleaceae,Production,pepM
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Substrate-specific Catabolism,phnY
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Substrate-specific Catabolism,phnW
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Production,phpC
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Broad-specificity Catabolism,phnM
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae,Substrate-specific Catabolism,phnZ
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae,Substrate-specific Catabolism,phnW
