Class,pepM,aepY,phpC,mpnS,hepD,palA,phnA,phnW,phnX,phnY,phnZ,phnI,phnJ,phnM
Acidimicrobiia,0,0,0,0,0,0,0,0.002785515,0,0,0.007672634,0,0,0.003616637
Acidithiobacillia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidobacteriia,0.008547009,0.004329004,0,0,0,0,0,0,0,0,0,0,0,0
Actinomycetia,0.012820513,0.025974026,0.00990099,0,0,0,0.014184397,0.002785515,0.004405286,0,0.00511509,0,0,0.001808318
Alphaproteobacteria,0.52991453,0.497835498,0.504950495,0.434782609,0.916666667,0.75,0.680851064,0.43454039,0.290748899,0.849315068,0.677749361,0.677536232,0.656370656,0.808318264
Anaerolineae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aquificae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armatimonadia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacilli,0.008547009,0.008658009,0,0,0,0,0,0.011142061,0.013215859,0,0,0.02173913,0.030888031,0.014466546
Bacteroidia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balneolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Betaproteobacteria,0,0,0.00990099,0,0,0.125,0.007092199,0.002785515,0.013215859,0,0.007672634,0.010869565,0.011583012,0.007233273
Caldilineae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Adlerbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Aerophobetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Aminicenantes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Andersenbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Azambacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Bathyarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Daviesbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Falkowbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Gottesmanbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Gracilibacteria,0.004273504,0.004329004,0,0,0,0,0,0.002785515,0,0,0,0,0,0
Candidatus Gribaldobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Handelsmanbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Heimdallarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Hydrogenedentes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Kaiserbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Latescibacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Magasanikbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Margulisbacteria,0,0,0,0,0,0,0,0.005571031,0,0,0,0,0,0
Candidatus Marinamargulisbacteria,0.008547009,0.004329004,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Marinimicrobia,0.012820513,0.012987013,0.00990099,0,0,0,0.04964539,0.002785515,0,0,0,0,0,0
Candidatus Melainabacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Muproteobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Omnitrophica,0,0.004329004,0,0,0,0,0,0.002785515,0,0,0,0,0,0
Candidatus Parcubacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Peribacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Poribacteria,0,0,0,0,0,0,0.014184397,0,0.004405286,0,0.010230179,0,0,0
Candidatus Portnoybacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Roizmanbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Rokubacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Ryanbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Sumerlaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Tectomicrobia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Uhrbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Wildermuthbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Woesearchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Woykebacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chitinophagia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlorobia,0.004273504,0,0,0,0,0,0,0,0,0,0,0,0,0
Chloroflexia,0,0,0,0,0,0,0,0,0.004405286,0,0,0,0,0
