Class,pepM,aepY,phpC,mpnS,hepD,palA,phnA,phnW,phnX,phnY,phnZ,phnI,phnJ,phnM
Acidimicrobiia,0,0,0,0,0,0,0,0.002242152,0,0,0.005576208,0,0,0.002758621
Acidithiobacillia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidobacteriia,0.0078125,0.004115226,0,0,0,0,0,0,0,0,0,0,0,0
Actinomycetia,0.01171875,0.024691358,0.009615385,0,0,0,0.008928571,0.002242152,0.003095975,0,0.003717472,0,0,0.00137931
Alphaproteobacteria,0.5390625,0.502057613,0.5,0.416666667,0.916666667,0.75,0.790178571,0.443946188,0.40247678,0.919753086,0.711895911,0.772413793,0.765957447,0.84
Anaerolineae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aquificae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armatimonadia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacilli,0.0078125,0.008230453,0,0,0,0,0,0.011210762,0.012383901,0,0,0.018390805,0.01891253,0.011034483
Bacteroidia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balneolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Betaproteobacteria,0,0,0.009615385,0,0,0.125,0.004464286,0.002242152,0.012383901,0,0.005576208,0.006896552,0.007092199,0.005517241
Caldilineae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Adlerbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Aerophobetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Aminicenantes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Andersenbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Azambacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Bathyarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Daviesbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Falkowbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Gottesmanbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Gracilibacteria,0.00390625,0.004115226,0,0,0,0,0,0.002242152,0,0,0,0,0,0
Candidatus Gribaldobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Handelsmanbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Heimdallarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Hydrogenedentes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Kaiserbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Latescibacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Magasanikbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Margulisbacteria,0.00390625,0.004115226,0,0,0,0,0,0.004484305,0,0,0,0,0,0
Candidatus Marinamargulisbacteria,0.0078125,0.004115226,0,0,0,0,0,0.004484305,0,0,0,0,0,0
Candidatus Marinimicrobia,0.01171875,0.012345679,0.009615385,0,0,0,0.03125,0.002242152,0,0,0,0,0,0
Candidatus Melainabacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Muproteobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Omnitrophica,0,0.004115226,0,0,0,0,0,0.002242152,0,0,0,0,0,0
Candidatus Parcubacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Peribacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Poribacteria,0,0,0,0,0,0,0.008928571,0,0.003095975,0,0.007434944,0,0,0
Candidatus Portnoybacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Roizmanbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Rokubacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Ryanbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Sumerlaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Tectomicrobia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Uhrbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Wildermuthbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Woesearchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Woykebacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chitinophagia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlorobia,0.00390625,0,0,0,0,0,0,0.002242152,0.003095975,0,0,0,0,0
Chloroflexia,0,0,0,0,0,0,0,0,0.003095975,0,0,0,0,0
Clostridia,0.00390625,0.004115226,0.009615385,0,0,0,0,0.004484305,0.00619195,0,0,0.002298851,0.002364066,0.00137931
Coriobacteriia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyanobacteriia,0.0859375,0.098765432,0.105769231,0.041666667,0.083333333,0,0.022321429,0.00896861,0,0,0.104089219,0.011494253,0.011820331,0.013793103
Cytophagia,0.00390625,0.004115226,0,0,0,0,0,0.006726457,0,0,0.014869888,0,0,0
Deferribacteres,0.0078125,0.008230453,0.009615385,0,0,0,0,0.002242152,0,0,0,0,0,0
Dehalococcoidia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deinococci,0,0,0,0,0,0,0,0,0,0,0,0,0,0
