Class,pepM,aepY,phpC,mpnS,hepD,palA,phnA,phnW,phnX,phnY,phnZ,phnI,phnJ,phnM
Acidimicrobiia,0.000834725,0.000873362,0.001067236,0,0,0,0,0.000185598,0,0,0.002142857,0,0,0.000478545
Acidithiobacillia,0,0.000436681,0,0,0,0,0,0,0,0,0.000714286,0.001152074,0.001175088,0.000797575
Acidobacteriia,0.000834725,0.000436681,0,0,0,0,0,0.000556793,0.001085776,0,0,0.000230415,0.000235018,0.00031903
Actinomycetia,0.112270451,0.10349345,0.072572038,0,0.788732394,0.004830918,0.0432,0.02264291,0.008686211,0,0.041428571,0.030875576,0.029847239,0.029191259
Alphaproteobacteria,0.123539232,0.109606987,0.171824973,0.351351351,0.183098592,0.463768116,0.312,0.120267261,0.104505972,0.30831643,0.2575,0.455299539,0.444183314,0.556867124
Anaerolineae,0.000417362,0.000436681,0,0,0,0,0,0,0.000271444,0,0,0.000691244,0.000705053,0.000478545
Aquificae,0,0,0,0,0,0,0,0,0,0,0,0.000230415,0.000235018,0.000159515
Armatimonadia,0,0,0,0,0,0,0,0,0,0,0.000357143,0,0,0
Bacilli,0.060517529,0.05720524,0.023479189,0,0,0,0.0016,0.10857461,0.146579805,0,0,0.03640553,0.037367803,0.031264955
Bacteroidia,0.031719533,0.03580786,0.03094984,0,0,0,0.000533333,0.022271715,0.018729642,0,0,0.000691244,0.000705053,0.000797575
Balneolia,0.000834725,0.000873362,0.001067236,0,0,0,0,0.000371195,0,0,0,0,0,0
Betaproteobacteria,0.251252087,0.260262009,0.27321238,0,0,0.497584541,0.4736,0.260393467,0.139250814,0.605138607,0.353571429,0.12235023,0.125264395,0.117403095
Caldilineae,0.000417362,0,0,0,0,0,0,0.000185598,0.000271444,0,0.000357143,0,0,0
Candidatus Adlerbacteria,0.000417362,0.000436681,0.001067236,0,0,0,0,0,0,0,0,0,0,0
Candidatus Aerophobetes,0,0,0,0,0,0,0.000533333,0,0,0,0,0,0,0
Candidatus Aminicenantes,0.001252087,0.001310044,0,0,0,0,0,0.000185598,0,0,0,0,0,0
Candidatus Andersenbacteria,0.000417362,0.000436681,0.001067236,0,0,0,0,0,0,0,0,0,0,0
Candidatus Azambacteria,0.000417362,0.000436681,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Bathyarchaeota,0,0.000436681,0,0,0,0,0.000533333,0,0,0,0,0,0,0
Candidatus Daviesbacteria,0.001669449,0.001310044,0.003201708,0,0,0,0,0,0,0,0,0,0,0
Candidatus Falkowbacteria,0.000834725,0.000873362,0.002134472,0,0,0,0,0,0,0,0,0,0,0
Candidatus Gottesmanbacteria,0.000417362,0.000436681,0.001067236,0,0,0,0,0,0,0,0,0,0,0
Candidatus Gracilibacteria,0.000417362,0.000436681,0,0,0,0,0,0.000185598,0,0,0,0,0,0
Candidatus Gribaldobacteria,0.000417362,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Handelsmanbacteria,0,0,0,0,0,0,0,0,0,0,0.000357143,0,0,0
Candidatus Heimdallarchaeota,0.000417362,0.000436681,0.001067236,0,0,0,0,0,0,0,0,0,0,0
Candidatus Hydrogenedentes,0,0,0,0,0,0,0,0,0.000271444,0,0.000357143,0.000460829,0.000470035,0.000159515
Candidatus Kaiserbacteria,0.000417362,0.000436681,0.001067236,0,0,0,0,0,0,0,0,0,0,0
Candidatus Latescibacteria,0.000417362,0.000436681,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Magasanikbacteria,0.000417362,0.000436681,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Margulisbacteria,0.000417362,0.000436681,0,0,0,0,0,0.000371195,0,0,0,0,0,0
Candidatus Marinamargulisbacteria,0.000834725,0.000436681,0,0,0,0,0,0.000371195,0,0,0,0,0,0
Candidatus Marinimicrobia,0.00542571,0.006113537,0.007470651,0,0.014084507,0,0.004266667,0.000556793,0,0.000676133,0.000714286,0.000230415,0.000235018,0.000159515
Candidatus Melainabacteria,0.000417362,0.000436681,0,0,0,0,0,0.000185598,0,0,0,0,0,0
Candidatus Muproteobacteria,0,0,0,0,0,0,0,0,0,0,0,0.000230415,0.000235018,0.000159515
Candidatus Omnitrophica,0.000417362,0.001746725,0,0,0,0,0,0.001113586,0,0,0,0,0,0
Candidatus Parcubacteria,0.000417362,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Peribacteria,0.000417362,0.000436681,0.001067236,0,0,0,0,0,0,0,0,0,0,0
Candidatus Poribacteria,0,0.000436681,0,0,0,0,0.007466667,0.001670379,0.002714441,0,0.006428571,0,0,0
Candidatus Portnoybacteria,0.000417362,0.000436681,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Roizmanbacteria,0.000834725,0.000873362,0.001067236,0,0,0,0,0,0,0,0,0,0,0
Candidatus Rokubacteria,0,0.003056769,0,0,0,0,0.005333333,0.001299183,0.00135722,0,0,0,0,0
Candidatus Ryanbacteria,0.000417362,0.001310044,0.001067236,0,0,0,0,0,0,0,0,0,0,0
Candidatus Sumerlaeota,0,0.000436681,0,0,0,0,0,0.000185598,0,0,0,0,0,0
Candidatus Tectomicrobia,0,0.000873362,0,0,0,0,0.000533333,0,0,0,0,0.000460829,0.000470035,0.000159515
Candidatus Uhrbacteria,0.000834725,0.000873362,0,0,0,0,0,0.000371195,0,0,0,0,0,0
Candidatus Wildermuthbacteria,0.000834725,0.000873362,0.001067236,0,0,0,0,0.000185598,0,0,0,0,0,0
Candidatus Woesearchaeota,0.001252087,0.001746725,0.002134472,0,0,0,0.000533333,0.000185598,0,0.000676133,0,0,0,0
Candidatus Woykebacteria,0.000417362,0.000436681,0.001067236,0,0,0,0,0,0,0,0,0,0,0
Chitinophagia,0.000834725,0.000873362,0.002134472,0,0,0,0.009066667,0.001670379,0,0.010141988,0.009642857,0.000230415,0.000235018,0.00031903
Chlorobia,0.000417362,0.000436681,0,0,0,0,0,0.000185598,0.000271444,0,0,0.000230415,0.000235018,0.000159515
Chloroflexia,0,0,0,0,0,0,0,0,0.001085776,0,0,0.001843318,0.001880141,0.001276121
Clostridia,0.103923205,0.118340611,0.067235859,0,0,0,0.018666667,0.05159614,0.038273616,0,0,0.015437788,0.015511163,0.011485085
Coriobacteriia,0.002086811,0.002183406,0.001067236,0,0,0,0,0.001484781,0.001085776,0,0,0.006451613,0.006815511,0.004466422
Cyanobacteriia,0.021702838,0.022707423,0.016008538,0.027027027,0.014084507,0,0.002666667,0.005196733,0.000271444,0,0.031071428,0.00921659,0.00987074,0.011485085
Cytophagia,0.001252087,0.001310044,0,0,0,0,0,0.001670379,0,0,0.025714286,0.000921659,0.000940071,0.001116606
Deferribacteres,0.001252087,0.001310044,0.002134472,0,0,0,0,0.000185598,0,0,0,0,0,0
Dehalococcoidia,0.002504174,0.003930131,0.005336179,0.027027027,0,0,0.0016,0.000185598,0,0,0,0,0,0
Deinococci,0,0,0,0,0,0,0,0,0,0,0,0.000460829,0.000470035,0.00031903
Deltaproteobacteria,0.013355593,0.013973799,0.01280683,0.054054054,0,0,0.021866667,0.014476615,0.012757872,0.014198783,0.005,0.013364055,0.013631022,0.011485085
Elusimicrobia,0.000417362,0.000436681,0,0,0,0,0,0,0,0,0,0,0,0
Epsilonproteobacteria,0.017946578,0.017030568,0.017075774,0,0,0,0,0.002783964,0.002171553,0,0,0.003686636,0.003760282,0.002711756
Erysipelotrichia,0.002086811,0.002620087,0.002134472,0,0,0,0,0.003526355,0.005157438,0,0,0.002073733,0.002115159,0.001435636
Fibrobacteria,0.002921536,0.003056769,0.001067236,0,0,0,0,0.000927988,0.001085776,0,0,0,0,0
Flavobacteriia,0.002504174,0.002620087,0.003201708,0.027027027,0,0,0.0064,0.002227171,0,0.006761325,0,0,0,0
Fusobacteriia,0,0,0,0,0,0,0,0.001855976,0.002714441,0,0,0,0,0
Gammaproteobacteria,0.111435726,0.081659389,0.173959445,0.081081081,0,0.028985507,0.0208,0.309205642,0.469869707,0.007437458,0.205357143,0.273502304,0.280611046,0.191896634
Gemmatimonadetes,0,0,0,0,0,0,0.001066667,0.000371195,0,0.001352265,0.000357143,0,0,0
Halobacteria,0,0.000873362,0,0,0,0,0.002133333,0,0,0,0,0.005760369,0.005640423,0.009092359
Ignavibacteria,0.000834725,0.000873362,0.001067236,0,0,0,0,0.000185598,0,0,0,0,0,0
Ktedonobacteria,0,0,0,0,0,0,0.000533333,0,0,0,0,0.000460829,0.000470035,0.000478545
Longimicrobia,0.000417362,0,0,0,0,0,0,0,0,0,0,0,0,0
Methanobacteria,0.004173623,0.004803493,0.005336179,0,0,0,0,0,0,0,0,0,0,0
Methanomicrobia,0.000417362,0.000873362,0.001067236,0,0,0,0,0,0.000271444,0,0,0.000460829,0.000235018,0.000478545
Negativicutes,0.013772955,0.01441048,0.003201708,0,0,0,0.004266667,0.007238307,0.003800217,0,0,0.000691244,0.000705053,0.000478545
Nitriliruptoria,0.000417362,0.000436681,0.001067236,0,0,0,0,0,0,0,0,0,0,0
Nitrospinia,0.004173623,0.005676856,0.002134472,0,0,0,0,0.002227171,0,0,0,0,0,0
Nitrospira,0.004590985,0.005676856,0,0,0,0,0,0.002598367,0,0,0,0,0,0
Oligoflexia,0.004173623,0.004366812,0.003201708,0,0,0.004830918,0,0.001299183,0.000271444,0,0,0,0,0
Opitutae,0.000417362,0.000873362,0,0,0,0,0.000533333,0.000185598,0.000271444,0,0,0,0,0.000478545
Phycisphaerae,0,0,0.001067236,0,0,0,0.000533333,0.000556793,0.000542888,0,0.000357143,0.000230415,0.000235018,0.00031903
Planctomycetia,0.000417362,0.001310044,0,0,0,0,0.005866667,0.004268745,0.014115092,0.004732928,0.0175,0,0,0
Saprospiria,0,0,0,0,0,0,0,0,0,0,0.000714286,0,0,0
Sphingobacteria,0,0,0,0,0,0,0,0,0.000271444,0,0,0,0,0
Sphingobacteriia,0.000834725,0.000873362,0.001067236,0,0,0,0.014933333,0,0,0.009465855,0.017142857,0.001612903,0.001645123,0.001914181
Spirochaetia,0.020868114,0.022270742,0.004268943,0,0,0,0,0.008537491,0.000814332,0,0,0.001152074,0.001175088,0.000797575
Synergistia,0.001669449,0.001746725,0.004268943,0,0,0,0,0.00074239,0.001085776,0,0,0,0,0
Thermomicrobia,0,0,0,0,0,0,0.001066667,0,0,0,0,0,0,0
Thermoplasmata,0.000834725,0.000873362,0.001067236,0,0,0,0,0.000185598,0,0,0,0,0,0
Thermotogae,0,0,0.001067236,0,0,0,0,0,0,0,0,0,0,0
Tissierellia,0,0,0,0,0,0,0.000533333,0.000185598,0.000271444,0,0,0.000460829,0.000470035,0.000478545
Verrucomicrobiae,0.002504174,0.002620087,0.001067236,0,0,0,0.014933333,0.005939124,0.001628664,0.018931711,0.001428571,0,0,0
Zetaproteobacteria,0,0,0,0,0,0,0,0,0,0,0,0.000230415,0.000235018,0.000159515
candidate division NC10,0.000417362,0,0,0,0,0,0,0.000185598,0,0,0,0,0,0
unclassified Acidobacteria,0.000417362,0.001310044,0.001067236,0,0,0,0.0016,0.00074239,0.000542888,0.001352265,0.000714286,0.000230415,0.000235018,0.000159515
